,textID,text,label,label_text
1162,97fa649dcd,going out  I can`t do this **** anymore :`(,0,negative
4528,0b7105a842,chillin with christina and diana,2,positive
17288,20d69e94d5,wishing my days off were the same days that people wanted to party.,1,neutral
6954,21208ff8cb,"actually, i think i`m being mean to her....i feel sorry now",0,negative
16552,db89d5aed1,I hve a fat kink in my neck  maybe someone handsome will massage it out later?  we`ll see!,2,positive
20497,96ea584a29,Off to work,1,neutral
10961,d95ff811cd, Flirting! Ima good man with bad habits.,1,neutral
21901,78a12305cd,I totally forgot thats its friday till I read `s tweet. Ha. I feel dumb  *Take A Breath*,0,negative
17898,270d98ef7e,"May the fourth be with you.  Oh come on, no one had actually spelled it out yet",1,neutral
1219,8ba8a074b6, I just wish  would send a bruh a DM `I won`t be on til` so I don`t waste my erection on a bot,1,neutral
431,a95d5ed9d5,Going to sleep now goodnight!  xoxo,2,positive
6290,cfd53e56f3,"BTW, Happy Star Wars Day... May the Fourth be with you! ROFLMAO...yes, I know I`m a total dork.",2,positive
10607,a5a1c996c0, fine! Going to do my big walk today 20 or so miles,2,positive
4877,c7a7e81bb9,WELL i do not think i am getting a call anytime soon. PAINTING MY NAILS!,1,neutral
5550,86fa730feb,Talk at you all lates!,1,neutral
8455,f490685a78,Is sitting in science freezing  four days (:,1,neutral
9384,7a31639e8e, And that`s what makes you an amAzing MOTHER  HAPPY MOTHERS DAY SOLO!! LUV YA!!,2,positive
13308,0776c54760,Dï¿½a sin sol... grrrrrrr.... ï¿½why? ï¿½WHYYY????????,1,neutral
6628,52b04547ba, I did the same thing in NOLA,1,neutral
21162,99ce44080e,twittascope is NOT rocking my socks - go away already!!,1,neutral
14151,3dc683942d,looking for models for beauty shoot THIS THURSDAY in the Valley studio  contact me if interested!,1,neutral
20082,d9dcae5eed,work soonnnnnn  it`s looking rly dead today...,0,negative
4084,82d0976c38,Loves him but most importantly loves my mom! Happy Mothers Day!,2,positive
15411,477af78571,"Wow, a calm evening",2,positive
9680,5a77e2b2d6, I GOT IT! i hope i get off of work in time for UP   want my job?,1,neutral
2694,7b777450e4," ok, so I`m replying!  happy mothers day, indeed!",2,positive
18208,3ff22a3aa1," hahahah yeah, you`re right! Plus I`m Twitteraddict so, You`ll find me here all (well almost) day most likely",1,neutral
15062,ba91134463,"14 hours later, I am still too drunk to drive... For shame on me for letting myself drink that much. I am not in peak spirits right now.",0,negative
18441,542602fd3c, I`ll keep that in mind when he gets tonked for 40 off his 4 overs.,1,neutral
5671,6fabbd3049,everyone vote for  for the mtv movie awards coz my comp is mashed up and wont let me vote!  i will somehow!!!!!!,0,negative
18379,71af66295a, thats real geek talk! haha...I feel you!,2,positive
8679,3a41ca5f8e,_benzo the first step to recory is admitting it.,1,neutral
17143,dcd74022d7, It`s Star Wars day?! Urgh I`m gonna have to get the videos out,0,negative
16058,d9ec842df1," i can`t listen to music at work  I probably could try, but then i`ll have to start hunting for a new job on monday",0,negative
18530,f914309bd5,must be time to go home - yes indeedy,1,neutral
10305,06f3302919, maybe she`s funny like a jester,2,positive
315,a6b8011c84,I got 5 in English lesson  now drinking sprite,1,neutral
17335,94364c73f3," Wow, congrats Rosemary",2,positive
11627,957dadbfd9,But I have cause I missed a lot of classes,0,negative
13943,876afc9158,mum is driving me and the Eric out to jt for the night.,1,neutral
20400,0597b9a5d2, check out my twitpic telling people to buy your album!  http://www.twitpic.com/4jhn7,1,neutral
1419,914c40995f," I live for pain, bring it on",1,neutral
5163,0ea3d0515b,It`s Maiko`s (keyboards) birthday today! He`s been a good boy. Maybe he`ll get presents.,2,positive
19375,0c5aba1b97,i can`t stop listening to  new single! (paranoid) it`s so amazing. i love them.,2,positive
9725,5bc20e5610, omg i forgot about that! you lucky thing! hope you have fun!!  x,1,neutral
12385,522fd74625,Visiting family in hospital = not fun,0,negative
9934,0654536ed4, Wow  That had to be difficult,0,negative
7745,b72923f620,  You`ve got to love fly tippers: http://tinyurl.com/mt4opc  Worst I`ve seen is a dead mule dumped on Holmbury Hill.,1,neutral
15439,5008a2b348,Finished new moon! Woo! Now i want the next one...,2,positive
14702,44a813ae34,Now I remembered the password,1,neutral
11147,c2c64bddac,"My guitar ain`t herew yet?, feel like i lost a limb!.",0,negative
13103,9e9a89a2d7,Back at home. At the moment Iï¿½m speaking to my aunt on the telephone and Darius is neighting in the backround... Miss my little horse,0,negative
21355,a00b2b3fc0, do it and I`ll give you the first hug,2,positive
11925,e4fd99e835,"**** fight night 4 demo won`t load, keeps crashing at the first screen. time to delete and re download i think",1,neutral
7775,ebe283157f, OMG .. my memory must have failed me! Very weird since I do not normally forget because of my profession!,0,negative
5545,dd020d7cc0, seperate = Yum. Together = gross sounding.,1,neutral
16337,1ed62451d4, Thanks for the #followfriday!,2,positive
18562,2e5f0145b6, thinking about you  http://mypict.me/Fuz,1,neutral
286,3303641772,Is working all weekend,1,neutral
17172,b5a5f20261,Hate be late,0,negative
16088,36eb4b38b6,"I get another pack of geography test, so I have to correct it on the weekend.",1,neutral
3488,45c1bcf3a5,welcome  ! since it seems you`re interested in cheese I hardly suggest you to follow  too,2,positive
21736,df7aa7f0bf,going drinking tonight... drinking away the blues......,1,neutral
8100,998af5bf96, y does it hurt so much? i can`t even chew gum.  i`ve lost so much weight because i can`t even eat,0,negative
18652,c4dde1116c,"twit twit twitter! trying to 'legally' watch a movie online, its not happening",0,negative
9263,e1ed43bebe,"_2008 Well, having to revise them!  Was to do some more gardening, now, I guess hoovering and some warcraft  Not played in a week !",1,neutral
16528,d533aece71, He`s my boxing trainer. Although I think the bruise came from me hitting myself on something. Ow,0,negative
293,890cee2365,Fidel has no balls,1,neutral
21982,b260644257,im feeling like ish!  i just wanna go home and go mimis,0,negative
10992,fab6b38a62,"Working, Listening to music,Testing out a new singer/guitarist tonight, let`s hope for the best",2,positive
6871,d0b0559549,gnite  Fukn Nite * wanted sum {pinga} but couldn`t get any,1,neutral
8612,4cbd2d23dc,The VP is gone...so why am I getting a headache?    Time to have some coffee and fight it off. #migraine #ohnoyoudidnt,0,negative
4404,ecab325607,im back. wooooo!!!  i want to have my own press release :|,2,positive
3077,897dc0377b,I have a stomach ache... Totally sucks,0,negative
3189,f0815eb38d, Absolutely! Lookin` forward to it,1,neutral
7477,79f5ba757b,just got back from tori`s. watching shark boy and lava girl,1,neutral
16332,ff4e554bc0,I`ve experienced apathy over empathy in customer service situations too many times recently.,0,negative
13130,59a1baecc5,I need some plugs. for real. my ears want to stretch. and I have no money,0,negative
21799,95828aebf3,Missing nathan and the bccg already. And my best friends that tried to visit me   Heading back tomorrow afternoon.,0,negative
4605,49ed23c40c,At work I don`t like today its nasty outside  can`t wait to get home today and clean my house!,0,negative
5513,6326b2d7f1, Wahoo! Thanks for the mention to others!,2,positive
907,eff3042c00,is watching 1000 places to see before you die,1,neutral
8908,a63858d0d8,I missed your calls,0,negative
14776,54c198e817,I want to be like Horatio Caine,1,neutral
6098,c04e8e49aa,On my deck... Perfect weather today! Not feeling good tho...,1,neutral
12428,03fa13d223,Happy 2 b out of school!!!!!!! People just piss me off sometimes,2,positive
9987,8c37fb6d50,"Morning everyone! Going to a gig now, then a run. Update you all later",1,neutral
6409,4d96ff65b0,"right im off for a shower my little treasures, ill see you later on",2,positive
1994,bbf71e04d1," ROFL  Even if I kept insurance and payments under $300, Im still like.. meh. Good thing I applied for a day job pasy $2888mo",2,positive
17683,a40e2e9476, DArLiNE!!* miss you,0,negative
1704,9014625463,I can`t breathe well but turns out I`m not crazy.  Just inflammed lungs,0,negative
13696,6ba9881569,_Tech_Update Do you know your Nutty Newsire twitterfeed ones are coming through w/o links? I can`t be lazy without the links...LOL,1,neutral
17227,b0212fbe33,"oh!, I wanna buy Just That Girl - Drew Seeley, but I`m not allowed  I`m talking itunes store)",1,neutral
18716,60ca07cc1e, LOL!  Too true,2,positive
17132,e9c2859c51,I am so tired!,0,negative
977,bc361e245e, Aw...poor thing.,0,negative
6650,94a52bb4b1," yes, Mondays are hard!  Hope you have a great day too & have the opportunity to get out at some point into the sun",1,neutral
1873,ff196f91e9,I love that my boyfriends loves my mac n cheese. he even took some to work with him,2,positive
10217,5000ec4a54,I already miss my Mohawk.,0,negative
15440,e3c06febb9,"got tickets to go with dad and his girlfriend to see Eric Clapton, Steve Winwood, and the Arc Angels on June 24th @ Toyota Center! WOO!",2,positive
621,f85c5d9ec2,Mom says I have to get a new phone IMMEDIATELY....off to T-Mobile.  she paying....,1,neutral
21220,871f3b9a78,"_donut ah good deal, hope you find some new music",2,positive
11257,0e0fdad9a6,"oo. and studied today outside after having a ben+jerry`s.. wearing a sundress, hopefully didn`t get an awkward tan line.. haha!",2,positive
19544,b86a4f6a4f,lets play some russian roulette.,1,neutral
20066,77586c7223,oh no noisy family who live next door are back from holiday  there goes my peace and quiet,1,neutral
6100,88a30f11e4," - not early at all, just say you are running on eastern time  hope you had fun at your auditions! canada ftw!",2,positive
13225,c848cca377, that`s cool! i think del`s going to korea same time as you! have fun!,2,positive
1153,509a6c533a,Followed by the great Super Mazembe. One of the favorites around here  ? http://blip.fm/~5jkbp,1,neutral
14874,1d916b0d51,"Needs to `unfollow` some tweeps, its not that I dislike you but I can`t keep up with you tweeting literally every 2 minutes! Sorry",0,negative
19263,4641062e9d,Home now!!! LOL but leaving again on monday for flo rida!!!,1,neutral
20967,e75176dc77,"Think it may be time for a  lemsip soon, having a cold really sucks",0,negative
21940,1206faee1b, prettty goooooooood   going to daaaaaancing in a mo and havnt studied much for maths :|,1,neutral
12912,c10f1d2c6c,Listening to Weightless by All Time Low. Thanks to  for making me listening to it!,2,positive
9935,0eb504f6ec,"  Lupo`s is a bit far for you methinks, luv. They`re an hour out of my way in Providence. I love Providence.",2,positive
2703,7d59e9dd6b,Grr...Fatboy Slim is out of the EDC Lineup.,0,negative
586,c2fc42a9ff, traumatizing moment of my childhood. my dogs massacred baby bunnies and my brother and i got out the bb gun...,0,negative
4265,432bb65127," Oh man, that sucks  I`m sorry, doll.",0,negative
8178,9d4b1e13a3,_Jen LOL - I know... seems that the whole fabric of our earth will now unravel - lol - I guess people have never seen bambi,1,neutral
11081,d7f97ec5f0,plus.. janessa hurt my feelings,0,negative
17818,6d6ce612a1, YAY! I can`t wait to read it.,2,positive
21308,cf0c03270d, Have fun amorsote even tho u forgot my bday,2,positive
15111,1841a654de,"Baby baby, it`s gonna be all right when I`m by your side and the whole world turns against you... I ? it when my Ipod randoms BSB songs",1,neutral
15569,055fe824e5,ended up face to face with a bear on 181 driving home this evening.  Sadly he took off into the woods before i hauled out my cameraphone,0,negative
14682,ff1cb8b8bd, did you have fun last night? we didn`t see you.,1,neutral
7333,6aae1e173b, how is Aussie...im hopin to be there in Sydney in less than a week just got my VISA on thursday whoot whoot,2,positive
16420,9e1f431a10,i am not happy at all,0,negative
5456,a08ec6e26d, Star Trek is really good. I loved it too,2,positive
4393,b10bc31f26," Actually, by the time i get there, the train would have arrived...",1,neutral
16201,1d2c43c7a9,"Slept like a log last night, now I`m full of energy",2,positive
13466,eed4cec21c, early happy day of birth in case I don`t make it! Very tired from therapy today n just taking my medicine!  misshu! Love ya!,1,neutral
19112,b4f735a7a7, not an easy place for me to access   Task-based ux is something I`ve been thinking about. I`d like to hear the criticisms.,1,neutral
17781,a6fdef9e35,This is the last time to get it right...  hello loves....,2,positive
19001,9e44318306,"I missed you yesterday, Lacey.    We get to go to granulation tonight, though.",0,negative
6415,1649b645f7, can you repeat what was bad about singapore pools website please?,1,neutral
18688,3ade80fe74,"may gray, coldplay, and nice showers...work at 2",2,positive
8295,25d0ae4faf,The case for my iPod Touch is literally falling apart.  So junk,0,negative
852,4d0e0ed8ac,Funtime was not a lot of fun!! But finally done with it,2,positive
20392,22fa0e467e,i gots a summer job,1,neutral
13933,3efc5b9c0f,Going to the Gold Coast for mothers day lunch,1,neutral
2935,1b6676addf," Totally unsurprised that Dave isn`t coming back to 10. But Annalisa is wrong for it, opposite of big warm mellow Dave.",0,negative
21830,185c55841b,White House joins social networking sites > http://bit.ly/15Fo4X - better late than never,2,positive
4520,3d6165b5f7,omg J.O.N.A.S. is my new fave show <3 one guess as to why hahahha,2,positive
20350,c36b56a8a4, PGPM student from where? I myself was a PGPM student about 4 years back. I wish I could stay one,2,positive
1339,32f71e09e0, he didn`t know there was going to be a test,1,neutral
21438,1608eddffc,Ok so my sister is going camping I`m so mad because i have to work tomorrow      have fun,1,neutral
18283,cc8b7f0874, In our vedanta class we have a saying 'Chit Happens' (chit being mind vibrations or thoughts),1,neutral
10545,4540286356,Gotta work.  Lonely weekend ahead.,0,negative
9710,fe597c3045,Awesome  I saw it thursday night. It is so great. 100% perfect casting.,2,positive
12309,fc41651484, I will watch that at some point. Have it on hd but Stace also wants to see it in hd so waiting,1,neutral
16569,92d7aaf05a,Disappointment really sucks!  I`m getting used to it.,0,negative
736,eb7ee38dc6, it was just areply on you facebook status that you were a little upset,1,neutral
9483,bee1bbb3b9,_EN  we`re waiting you here in Belgrade!! Can`t wait!!,1,neutral
8291,7e4adc5a15,does anybody want to throw a baseball around with me?,1,neutral
13098,413de9fc40,sweaty and tired from the 6 lap run.  gonna do sun run next year no matter what.,0,negative
11458,086a1d96ed,I need to play inFamous... Where`s a free Blockbuster rental coupon when you need one? I miss that Coke Reward,0,negative
17882,67f4af6814,my birthday is in 2 days,1,neutral
450,6fadfe4b89, I`d like to put your fruity article on my website if you`ll permit,2,positive
13211,d05540e08e,  Sending you both TONS of thankful love for Sock Summit. I can`t believe the utter **** that some people spew.,1,neutral
2066,2c9631e79c,"Got my tattoo fixed today, and it didn`t hurt to much, thank god  Can`t wait to get the next one. $$$.",2,positive
16134,42992f1ab4,is trying to find something to do tonight,1,neutral
6072,02ed1e6556, I would love to see the sun again.  It has been raining here for 3 days now.,2,positive
1071,f2e1061044,wooo...my luck is done,0,negative
21671,87383f22ae,Working  god I hate it haha,1,neutral
6045,dba147c9f9,i just wanna say happy mother`s day to all the mommy`s out there,2,positive
12998,9abdd004ac, yeah i did  i remember it na....... i did watch it before ),1,neutral
20831,451c75d5fe, Just read that message about u being at Stephanie`s in Greensboro.....love it! I miss my home!,0,negative
6885,5670a0857e, you`re so lucky. we have 6 weeks until summer,2,positive
19890,27af3032f1, Yes I do! And I`m still almost at my Gmail storage ceiling! ARGH! I am being FORCED to delete stuff.... or buy more space.,0,negative
19493,8eab77e827,is back to revision. Bye bye Hannah  <3,1,neutral
14580,2fdf8962ef, when u do get at me i will show u all the hotspots there is no where i dont kno when it comes to shoppin here lol,2,positive
19416,82c8e1b4f9," Hmmm, should have looked at it a little more methinks",1,neutral
18066,adac9ee2e1," I just started watching 30 Rock too, borrowed seasons 1 and 2 from my dad   so good.",2,positive
1144,68257ebec2, Did you get your free chocolate?!? I still haven`t gotten my email.,1,neutral
6020,f2f9937467,Played the Eclectricity Festival @ The Custard Factory last night was an UNREAL atmos right till the end! Glad i played last set,2,positive
11026,97ce887ed0,"happy mothers day.  oh and no i havent read it yet, will do now",2,positive
17293,9ab7870eab,Sewing things is nice  I feel crafty and productive. And foxy.,2,positive
1237,e5e0223e4c,at thee mall,1,neutral
15273,0a3a00c98d,finally graduation no more school ... im sick today,0,negative
8729,c5aeb8a5b0, the happiest place on earth  j`adore,2,positive
20349,3ddb3dd806,It`s hella itchy!  http://twitpic.com/66m7f,0,negative
10061,d91d939c70,"_lisa ...one online? Yeah, me",1,neutral
9362,ecd73c6d97, So the man behind the awesome Macarena vid. Great work. Love it.,2,positive
8614,fcafdaf22f," Ha ha, might be - I`ve doubled my morning intake already in the last couple of days - now have a HUGE bowlful!",1,neutral
18248,9a3ea6be56,fighting with mum on mothers day,0,negative
7168,cd73258878,time to bed now!!,1,neutral
41,c2ae2a443a, it starts @ 6. But we will be there until they throw us out. Traffic will be crazy!,0,negative
5350,226a3c6bb0," As opposed to twitter, where all we can do is talk to people.  SL is fun. I already have way too many ways to distract myself.",2,positive
14679,b89359ad44," I think he thought about it, but then I sneezed on him",0,negative
4085,22adf200c3,"Also I popped the phone open and got all that goddamn dust out, but I wore out a clip on the camera panel so I had to glue it shut",0,negative
15951,aaaa3e4e66,Arrr. Exam is on next week.. Im dead.. bwahahaha..  I love you btw!!,1,neutral
16571,ddb006254b,Shower. Then back to bed. So sick still.,0,negative
12503,bfcac206a0,ok nevermind. photo was set to private. sorry.,0,negative
4101,92e1b6846e, We saw that in none 3D - the baddie`s the best,2,positive
14278,e57e7a66bf," i chewed up a Starbucks and a Subway gift card at Christmas time, I got in big trouble. I not allowed near purse.",0,negative
2578,347c2e15ab,Stupid sun i  actually have to work now,0,negative
5784,3a73e57137,Bouta donate blood! Ahhhhh!,1,neutral
7881,62de115bd2,"Wathing Dollhouse on Hulu, eating the special from El Taquito and a beer. B-day week is going well",2,positive
3474,0ab354ce33," http://twitpic.com/4j585 - HAHA nice, now I need an iPhone",2,positive
2034,8626202598,horseback riding,1,neutral
1123,2725e91f3d,Off to bed!! Still exhausted from Vegas,0,negative
20078,4e6e3ebb75,just got home.  errrr... V.Luna hospital is so far. :|,0,negative
16096,03445b5ba3,My wife can`t get on the guest list for tomorrows show because it doesn`t exist. LAME. I guess no wife at the show.,0,negative
10475,7281282830,_coza  Yep. Live and learn,1,neutral
10911,b1452fcceb,ive spent a lazy day today finding some interesting people to follow  its reinforced the saying... it takes all sorts of people ...,1,neutral
16262,ee1bab493a,have been to portugal. and spain. and has a sore throat. scary?,0,negative
18328,9f6f357076,My uncle isn`t coming after all,1,neutral
18345,5f02451f6e, glad you liked the gmail add-on too. We visual people like the asthetics to be right don`t we.,2,positive
10331,7c47bfca56,I`m awake. Anybody else awake? Wish I lived in the US since all the fun happens when I`m asleep!,2,positive
13090,b65309d7e2,"Oops, they don`t open until 9am",0,negative
20651,4e077ecdc0,KICKIN BAK......NEED 2 DO MY HW.....I MISS U BABE  LOLZ,0,negative
1347,a435e058ae, srry can`t go paintballing tonight  and there are no good movies out,0,negative
14807,6b2733b1a6," Mark Twain quote is spot on, my cat is a bugger when it comes to crime! Handy at times",2,positive
15683,22a3156283,IDIOTat)tove_liden Th*nks for the follow Tove!  (ddoodm) #IDIOT,1,neutral
2585,230ffd1688,yess! talking 2 a hott guy!  happy **** ****!,2,positive
21386,4863c9829e,I almost lost you again phone  silly indy,0,negative
10537,23f72f2984,"where are all ma bestfriends at ? , MIA or wat ?",1,neutral
13534,17f4db5ddf, Can`t access your site!,1,neutral
7931,a75502baae,contemplating whether or not I will go to prom as I listen to my 80`s playlist. 'Somethings tellin me it might be you!' Stephen bishop,1,neutral
16054,848c9812d3,''have you the e-mail from Miley ???? I want to write with her but I cant,0,negative
7748,71e55a0300,is NOT watching Star Trek tonight. But is heading to a lovely dinner and fun board games night with ,2,positive
8452,a14955274a,I think I have H1N1...     Or maybe just a cold.,1,neutral
1940,d814646d66," A towel, a 'Sub-Etha Sens-O-Matic' and the Guide ??",1,neutral
6926,c9364473ac,Feelin a little blue tonight.. Love might be good,1,neutral
90,1c4af889ad,"_Beez - I`m 20% hetero-challenged, but still didn`t care for 'Milk'... I thought it was boring.",0,negative
7046,b16b566d38,says SPACE AND TIME IS ALL WE NEED  http://plurk.com/p/x2dvj,1,neutral
35,3a40f4d277," w00t, have a red wine now",1,neutral
19892,1132b51b1a,Guinness got 2 `new` toys from mom and dads house.  Hooray for free stuff,2,positive
4634,d3e56c2541, I`m so jealous! Wish I could join u. It`s so cold in LA right now.,0,negative
14064,edb66c6453,Round and Round the Garden: The amazing thing is that he`s still talking to me!  http://rly.cc/JNFwN,2,positive
15095,345545946d," Since part of your job is predicting what will happen on the golf course, what are you going to shoot?",1,neutral
8394,a0e9dc9475,Seeing people today made me realize I really miss someone. But I also miss my grandpa he`s been gone 17 years  oh! but my moms mamagra ...,0,negative
18897,0b1c723d60,Brad Fastings is my favorite person to hang out with from 12 AM to 5 AM,2,positive
12733,19bdfd834b," did you get them from california vintage? ahahah they have the BEST dresses, i want them but i dont have ebay",2,positive
20034,82b533aa06, oh dear  not fun,0,negative
20528,55aae928f3,listening to Demi Lovato  FINISHED MY NEW SONG!,1,neutral
16911,0398e13b67," no, silly, to shoot other shoppers with  though a taser is probably the more humane penalty for 12 items in 5 item line",0,negative
8932,66b4c98df6,Shower time,1,neutral
705,f38c40c9aa,_ Oh please mark all toe tweets with #toe.  is trying to make trening topic out of #toe,1,neutral
2207,90d95ff1d2, hey love whats up! my voice is shot  whats new with you,2,positive
6491,750c44f437,57 days till my 18th B-day,1,neutral
19805,ef1350cddd,loves the cancuks  <3,2,positive
13357,74d16e4796,diesel yaris... 70mpg  so sad its not available in the US. That`d be awesome.,1,neutral
8116,6bd6594906, this hiatus of yours is like... really long. Boo,0,negative
20448,9d297f12c0,I am new here,1,neutral
17594,ed17162857,im determined to slarm around my house and eat egg sandwiches. and smoke a few bowls. sounds like a splendid evening to me,2,positive
15754,f954d4144b,FINALLY...the internet is up. The server is down in Phoenix and it was **** up.,0,negative
2958,a27b18cc35,At work and really slow for a beautiful day and a Friday.,2,positive
17755,17dfbe1ed9, thanks for having me! i had a great time too,2,positive
11369,9beada6639,Kinda bummed that I`m gonna miss `s return to BG. Now I`ll never know what it`s like to make love to _gunn.,0,negative
20077,49505e08de,"in case you missed it on my fb status: looking for maui hotel recommendations. yes, maui!",0,negative
7609,906dda88e4," Smooches to you as well, have a great day!",2,positive
3248,914da6164e,No B2G1 for me.  Trying to save cash for next month`s vacation.,1,neutral
7077,210b5fd002, awww. rusks are good for tummy aches though :p try fennel or camomile tea  works. or obviously try ...,2,positive
11231,e3a67f4c54, I told u I tried but 88 said it was 2 late  cause the girl I was with took 4ever 2 get ready. they wanted to meet up by 11.,0,negative
9948,8ebf97bf78,PEOPLE!!! wat the hell is a follower on twitter???? I DONT GET IT!!!,0,negative
11259,42ce17b684, hey chocolate chips is good.  i want a snack too but i`m out of snacks.,2,positive
7757,45665a805b,I smashed my pinky in julia`s car door... **** my life...,0,negative
7681,b2423564f7, AWW thanks hopefully it is,2,positive
1086,0dc68d825f,LOL!!  I`m glad I`ve seen the original trailer or that wouldn`t have made sense     Someone certainly went to a lot... http://bit.ly/A0pyr,1,neutral
6267,b2f2f7e88a,it`s midnight.,1,neutral
18772,a9e033d39c,I also found out that it`s also my last youth group meeting,1,neutral
4731,22a195f2d7, looks class the water splash looks so real  looking forward to my review copy ;),2,positive
5945,e200ecf423,The most painful sound in the world to me is the crying of someone I love. What`s worse is I can`t even hold them and say I`m sorry,0,negative
7576,a48dbc37c7,I slept at 2am yesterday,1,neutral
2002,3ab11b13b2,"Offline for now, I`ll tweet again later...",1,neutral
19829,d07423d091,at work,1,neutral
8805,a0ee798944,Waiting to go to bed. Had a great weekend,2,positive
16602,a05b20af47,Environmental project,1,neutral
11858,3d03953cdb, I know right...,1,neutral
5230,d66c40fbde,I LOVE CHICAGO.   Tonight was AMAZING!!,2,positive
10678,8ec133a4ad,Off to work I go!,1,neutral
7144,a753a93e45,"few grilled mushrooms and olives, feta cheese and coffee for breakfast.. should i try to sleep now..?",1,neutral
8082,872784b2c4,"I am the empitome of epic fail, just you know, more epic than fail.",0,negative
21140,762e9f81f7," My original non-Yahoo acc. was deleted when they got bought-out  But it`s not too bad, I don`t receive any Yahoo-spam from it.",2,positive
6978,0c3fcaf68b, ROFLMAO! I feel inspired to go start a huge bonfire now,2,positive
10984,134b4e3267,In bed after a good last saturday in ec. I`m gonna miss this place but can`t wait til summer,0,negative
10319,85257b9c96, I still have a lot of time on my stupid contract...  18 months before I can change providers,0,negative
4205,631efce27e,I can`t sleep...I keep thinking about the puppy I played with today,1,neutral
17808,1d9290ef15, is a lumberjack  http://twitpic.com/4wqe8,1,neutral
16006,4ba0e88523,love the sweet g`nights every night,2,positive
5254,f043c14a94, could you post a link to the internet version of the times so that I can read it pllleeeaaassseeeeee!!!!,1,neutral
21447,91d4f7cf8f,watching 'Look for a Star' with mom again  lub ah C hehe,1,neutral
14189,045c8cea99,_J We`re in the same boat.,1,neutral
13880,7e26065fff, agree with you about facehunter  embarrassing representation. compare to swedes who all look like they were born stylish.,2,positive
21139,e7b5755bcb,"Had a great weekend with One, hanging with Nick & Brendon, church this morning! Can`t believe Loretta won the Mothers Day raffle again!",2,positive
11711,30ac477e90," Unfortunately, I will be nowhere near the beach. I have fam in that area, too.",0,negative
12170,915c66ead8,acsvxdcbgfn soccer now. shall see young phoebe after D: I don`t want her dressed up though,0,negative
5474,7e820f005a, Thanks for the warm welcome! We didn`t make plans   because our arrival time was so up in the air.,2,positive
14766,138aab6efa,  They don`t do car audio,1,neutral
13240,98bfec52ab," yay, you get to ride on the tow truck. How cool is that?",1,neutral
11576,52f70c2da6, ahaha its stuck in my head; thanxx,2,positive
19692,3710731ceb,gotta shower then go apply for more jobs  hopefully no creepy old men will be working again today *shudder*,1,neutral
5841,53c976b0ea, at home  im so lonely here...,0,negative
6309,14323569cc, i want to! but im not over 18 and t&c says over 18`s only  wanna make an exception for me ;),1,neutral
6275,44102ea7ab,and I bought FOUR ties  http://tinyurl.com/pvajlm,1,neutral
11453,7ed43fb65d,is cold and wished to go back to bed,2,positive
17223,80f58d14c9, i quite like God Save Our King too,2,positive
19878,7c79d9f42d, im only on 1800  lol,1,neutral
1866,4b7d635a16," I know, It`s so crazy! I love using it too  Have you seen my YT recently? I am a partner now  ****",2,positive
2221,abc732bed8,_assassin  We are soooo sorry   We love kitties and know how much they become a part of you.,1,neutral
21581,282a6b5807,My tongue still hurts.  I need to sleep!!!,0,negative
18837,318a4a77aa,"Trying to put down some veggie soup, and watching Bride Wars while my body recovers.  Hope I`ll spring back tomorrow",2,positive
20593,2248efe4a0,Currently working on a collab with Alynn Carter called Lost Inside which I`m very excited about,2,positive
20501,0dfbcfbc58,  got my hair rebonded at some korean place. dude! my hair is f`in fried! cut 5' already ... now just chopping it off!!!,0,negative
259,290bc5b3d8,"too tired, i canï¿½t stay awake..but i must finish work for sunday",0,negative
21853,af49a3d059, EXACTLY!!,1,neutral
651,0d57c076ee, what did someone do? and good morning,2,positive
11615,e89812a939, Thanx love,2,positive
21714,b47524feba, Happy Mother`s Day!!,2,positive
6440,936068c18b,  thanks for following!  pretty complicated id you have there lol,1,neutral
5934,98c3ac867c,"OMG. Missed bus, walking miles, for a coffee  Went to see my ex-classmates",0,negative
12257,1dc10375b2,Cant believe there had been nice weather all day and I was stuck in doors all day,0,negative
19557,e8d46e63db, Tell him where...,1,neutral
3405,9a9c9817e2,"Oh dear god, going to have to buy a Mac and Pro-Tools, I think my darling edit suite is soon to be filled with Prince Of Persia Movie",1,neutral
14068,cee5059af5," Hehe, funny (the midget thing) ! Cheer up Alex, and wave from below  Is it that you are in Germany right now? .. or in Spain? ;D",2,positive
18338,4c493e8d47,_of_Twtr Beautiful!,2,positive
836,3e01dc864a,GRRRR!!! It`s BACK!!!!! And what I mean is my headache  But on the *       *        bright side....it`s only on one side!!!! /\/\/\/\/\,0,negative
4819,e573a945f6,Not quite sure what ace of cakes is or are. Gosh I`m tired. Loved bride wars. Fun night.,1,neutral
14193,1f5d180807," Thanks, it`s just too good for TV, simple as that.  #dollhouse",2,positive
14443,8b1235c0ef,"Noticed Wellwood has all his teeth in tonight, that`s nice",2,positive
5910,a54b90ed0a,"Going to REtake my Softball photo because Patrick`s Studio is a piece of ****. Back here for chores. Some Friday, huh?",0,negative
10075,d92bd9e860,I lost count   sorry I let u down...,0,negative
13412,a992c7dd78,OMG. Today felt like the last day of school! it`s horrible!,0,negative
20485,9199bbbb68, good catch!  Thanks a bunch- have to put up a new widget.,2,positive
11573,f1f6db7a1a,Is at the movies with the boyfriend!!,1,neutral
3702,4bb594fa0d,school is so pointlesss. seriously though. 7 days of school left and all we do is watch movies and make powerpoints. let me leaveeee,0,negative
